TowNum,Tow Address,Tow Firm,Firm Address,Firm Phone,Vehicle State,Vehicle Plate,Year,Make,Model,Color,Date ,Time
304069,  50 WILLARD ST,CENTRAL GARAGE," 36 BOND ST. HARTFORD,CT 06114",860-296-1426,CT,512YPD,2005,ACURA,RL,GRAY,2012015,333
304070, 142 CLARK ST,A & N AUTO," 1516,PARK ST,HARTFORD,CT,06106",860-233-7079,CT,9ARHP4,1996,MERCURY,MARQUIS,TAN,2012015,342
304078,  80 POPE PARK HWY,CAPITOL AUTOMOTIVE LLC," 971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,9ALSE5,2006,HONDA,ODYSSEY,BLUE,2012015,835
304079,  80 POPE PARK HWY,"CENTRAL AUTO & TRANSPORT, LLC"," 195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,,,2010,CHEVROLET,CAMARO,BLACK,2012015,835
304083,  39 CHARTER OAK PL,"CENTRAL AUTO & TRANSPORT, LLC"," 195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,2AFMB5,2004,KIA,OPTIMA,RED,2012015,15
304084,  20 CHARTER OAK PL,"CENTRAL AUTO & TRANSPORT, LLC"," 195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,820RWH,2002,NISSAN,MAXIMA,TAN,2012015,16
304085,  16 GROTON ST,MODERN GARAGE," 100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,6ALJL7,2004,NISSAN,MAXIMA,TAN,2012015,20
304086,  16 GROTON ST,MODERN GARAGE," 100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,6ALFA4,2014,NISSAN,ALTIMA,BLU,2012015,25
304087,  36 GROTON ST,"CENTRAL AUTO & TRANSPORT, LLC"," 195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,4AAER6,2004,CHEVY,VENTURE,GRY,2012015,25
304088,  41 LISBON ST,"CENTRAL AUTO & TRANSPORT, LLC"," 195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,MA,2DV325,2015,DODGE,DART,GRY,2012015,33
304089,  25 NORWICH ST,MODERN GARAGE," 100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,5ADVD1,2007,HONDA,ACCORD,GRY,2012015,37
304090,  16 PATSIE WILLIAMS WAY,MODERN GARAGE," 100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,CT,476ZPD,2009,NISSAN,MAXIMA,GRY,2012015,40
304091,  77 WYLLYS ST,"CENTRAL AUTO & TRANSPORT, LLC"," 195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,144ZNL,1993,TOYOTA,COROLLA,BRO,2012015,48
304092,  77 WYLLYS ST,"CENTRAL AUTO & TRANSPORT, LLC"," 195 MAXIM RD. HARTFORD, CT 06114",860-246-7616,CT,9AGJF7,2002,OLDS,BRAVADA,BLU,2012015,50
304093, 530 BROAD ST,FRIENDLY AUTO BODY & TOWING," 99 MEADOW ST.  HARTFORD, CT. 06114",860-296-8588,NY,GGM1879,2013,FORD,FUSION,GRY,2012015,108
304094, 686 BROAD ST,BENTON AUTO BODY," 155 FRANKLIN AV. HARTFORD, CT 06114",860-246-7771,CT,8AHBE8,2004,CHEV,BLAZER,WHI,2012015,109
